Age Range,Covid Vacc Date,Black,Black total,Mixed,Mixed total,Other,Other total,South Asian,South Asian total,Unknown,Unknown total,White,White total
50-54,1/12/2020,0,37737,0,15393,0,28777,0,85708,0,183477,0,1213527
50-54,4/12/2020,0,37737,0,15393,0,28777,0,85708,0,183477,0,1213527
50-54,8/12/2020,0,37737,0,15393,7,28777,21,85708,28,183477,189,1213527
50-54,9/12/2020,14,37737,7,15393,14,28777,56,85708,63,183477,525,1213527
50-54,10/12/2020,14,37737,14,15393,21,28777,84,85708,84,183477,812,1213527
50-54,11/12/2020,28,37737,14,15393,35,28777,119,85708,126,183477,1141,1213527
50-54,12/12/2020,28,37737,21,15393,42,28777,154,85708,161,183477,1470,1213527
50-54,13/12/2020,35,37737,28,15393,49,28777,182,85708,189,183477,1708,1213527
50-54,14/12/2020,42,37737,28,15393,56,28777,231,85708,245,183477,1988,1213527
50-54,15/12/2020,63,37737,35,15393,70,28777,287,85708,294,183477,2513,1213527
50-54,16/12/2020,70,37737,49,15393,84,28777,357,85708,371,183477,3227,1213527
50-54,17/12/2020,91,37737,56,15393,105,28777,448,85708,462,183477,4053,1213527
50-54,18/12/2020,112,37737,70,15393,133,28777,560,85708,553,183477,4837,1213527
50-54,19/12/2020,133,37737,77,15393,154,28777,630,85708,616,183477,5474,1213527
50-54,20/12/2020,154,37737,91,15393,168,28777,735,85708,728,183477,6342,1213527
50-54,21/12/2020,168,37737,98,15393,196,28777,875,85708,882,183477,7539,1213527
50-54,22/12/2020,189,37737,112,15393,224,28777,1015,85708,1001,183477,8596,1213527
50-54,23/12/2020,210,37737,133,15393,273,28777,1190,85708,1162,183477,9821,1213527
50-54,24/12/2020,224,37737,140,15393,294,28777,1295,85708,1239,183477,10423,1213527
50-54,25/12/2020,224,37737,140,15393,294,28777,1295,85708,1239,183477,10423,1213527
50-54,26/12/2020,224,37737,140,15393,294,28777,1302,85708,1239,183477,10437,1213527
50-54,27/12/2020,231,37737,147,15393,301,28777,1323,85708,1260,183477,10612,1213527
50-54,28/12/2020,238,37737,154,15393,315,28777,1358,85708,1295,183477,10941,1213527
50-54,29/12/2020,266,37737,168,15393,350,28777,1484,85708,1393,183477,11760,1213527
50-54,30/12/2020,294,37737,196,15393,406,28777,1701,85708,1589,183477,13839,1213527
50-54,31/12/2020,336,37737,224,15393,462,28777,1904,85708,1813,183477,15862,1213527
50-54,1/1/2021,350,37737,231,15393,490,28777,1953,85708,1869,183477,16415,1213527
50-54,2/1/2021,364,37737,231,15393,497,28777,2002,85708,1925,183477,17059,1213527
50-54,3/1/2021,371,37737,245,15393,504,28777,2044,85708,1981,183477,17577,1213527
50-54,4/1/2021,392,37737,252,15393,525,28777,2142,85708,2058,183477,18515,1213527
50-54,5/1/2021,441,37737,280,15393,588,28777,2345,85708,2247,183477,20363,1213527
50-54,6/1/2021,518,37737,315,15393,637,28777,2548,85708,2513,183477,22799,1213527
50-54,7/1/2021,588,37737,350,15393,721,28777,2856,85708,2919,183477,26397,1213527
50-54,8/1/2021,672,37737,392,15393,826,28777,3185,85708,3353,183477,30352,1213527
50-54,9/1/2021,728,37737,427,15393,896,28777,3472,85708,3731,183477,33852,1213527
50-54,10/1/2021,777,37737,455,15393,938,28777,3619,85708,3955,183477,36043,1213527
50-54,11/1/2021,847,37737,483,15393,1015,28777,3843,85708,4319,183477,39200,1213527
50-54,12/1/2021,945,37737,518,15393,1092,28777,4095,85708,4774,183477,43239,1213527
50-54,13/01/2021,1071,37737,581,15393,1190,28777,4354,85708,5257,183477,47656,1213527
50-54,14/01/2021,1190,37737,637,15393,1288,28777,4662,85708,5747,183477,52486,1213527
